url,category
https://gramunnati.blob.core.windows.net/lead-images/1f7f96ce-574c-4214-81ac-e5d4d0bd8412_1721102466961_1721102467.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/e5b442a0-e59d-492b-8b91-fa49b20382d5_1721102676503_1721102676.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/e6b5e0a1-5f87-417d-bac8-36c0742ab652_1721183618447_1721183617.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/f75f4110-cf53-4e6a-bef5-fc5593f8fbb5_1721191559902_1721191560.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/453f7ea4-a40f-40f9-8e22-40088a002818_1721214068189_1721214069.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/78b5c525-fd67-46d6-93cf-a4183f857523_1721274245484_1721274246.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/8a88c67a-2710-4095-8ed4-893def2c51c5_1721274536186_1721274537.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/ec7c8512-a495-4ce7-8211-0f2c6f239f42_1721305018362_1721305018.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/82113b99-c6da-4d08-920f-c7f319dd805e_1721615932303_1721615933.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/f1faefc6-1bf2-4a71-abfc-b9ac5b46d90a_1721616187580_1721616188.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/8f3acb43-1f1e-4f65-97cf-8e6fa7e2950f_1721616961125_1721616961.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/8f3acb43-1f1e-4f65-97cf-8e6fa7e2950f_1721616977488_1721616977.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/4cec3caf-89d6-441b-a8d4-41682bd4f443_1721729193517_1721729190.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/202561e0-b5d7-4f93-9d90-3b35ba070770_1721735684496_1721735682.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/f6105563-4eb8-4d67-8748-3ff452cf488a_1721737922085_1721737923.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/a5e87a66-11c1-4f1d-9dfd-82db9050795f_1721738226591_1721738224.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/38a1a063-62e4-4886-9677-a71b748f5007_1721738479931_1721738477.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/a5bed682-cd06-4393-94b8-e1c593c5e3b4_1721738517232_1721738518.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/9b6eba91-b587-4073-a22b-7ec579f92517_1721801119892_1721801118.jpg,buyback
https://gramunnati.blob.core.windows.net/lead-images/3c17769b-5291-4b85-825b-c5f80144734e_1721801982146_1721801980.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/cb7a1d81-7e57-4afc-97b8-e447a96344a4_1721804144943_1721804143.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/78ff3208-6199-4591-9782-7d0a64be3cdb_1721805291627_1721805290.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/c69ee0ae-f476-4399-8f42-95a3d3a1bfa7_1721816354487_1721816354.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/ecbe15aa-f543-4463-89f8-5e250dd7050c_1721819076876_1721819078.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/985ed2fb-deca-48f4-a5f4-1f72cf82f602_1721822029668_1721822030.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/2fb5300b-d4b0-44c7-b258-71f0a2c6abf4_1721906761466_1721906766.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/3a1284c1-b15a-4331-95ca-18277211bc91_1721909373201_1721909373.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/0422de59-5c27-4876-ac76-672878e0dce2_1721980165829_1721980166.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/c558d1f8-c59d-4e79-a6bc-ae58312178fe_1721981251010_1721981251.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/7c8b5dcd-23df-4657-b2b9-3ad68983595f_1721985395971_1721985396.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/030074be-fdd7-4ba1-a7b8-5ad46df0b221_1721992591494_1721992591.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/030074be-fdd7-4ba1-a7b8-5ad46df0b221_1721992599159_1721992599.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/877b6582-c944-4139-ac6d-27baf9e458f3_1721994360044_1721994361.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/f9be2f83-105b-4df7-8297-c5cdfd2b010b_1721994503950_1721994504.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/dcd96f11-6245-4b72-b7cd-43eb96065e4b_1722051764018_1722051765.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/13389354-afd3-49f0-8800-e391c93de0e1_1722052212122_1722052213.jpg,inputs
https://gramunnati.blob.core.windows.net/lead-images/7e0b70c7-bfd3-4dc8-a5f5-9fb25a8f1169_1722053761362_1722053761.jpg,inputs
